"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 20:04:08 GMT 2023","Thu Jul 06 20:04:11 GMT 2023","3077","tests","test_steps","","","","test_dynamic_steps",""
"passed","Thu Jul 06 20:04:03 GMT 2023","Thu Jul 06 20:04:08 GMT 2023","4386","tests","test_decorators","","","","test_decorator_steps",""
"passed","Thu Jul 06 20:04:08 GMT 2023","Thu Jul 06 20:04:08 GMT 2023","1","tests","test_labels","","","","test_decorator_labels",""
"passed","Thu Jul 06 20:04:08 GMT 2023","Thu Jul 06 20:04:08 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"passed","Thu Jul 06 20:04:03 GMT 2023","Thu Jul 06 20:04:03 GMT 2023","0","tests","test_attachments","","","","test_attachments",""
"broken","Thu Jul 06 20:04:08 GMT 2023","Thu Jul 06 20:04:08 GMT 2023","1","tests","test_selene","","","","test_github",""
"passed","Thu Jul 06 20:04:08 GMT 2023","Thu Jul 06 20:04:08 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
