"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 09 12:02:59 GMT 2023","Sun Jul 09 12:03:02 GMT 2023","3527","tests","test_steps","","","","test_dynamic_steps",""
"passed","Sun Jul 09 12:02:54 GMT 2023","Sun Jul 09 12:02:59 GMT 2023","4457","tests","test_selene","","","","test_github",""
"passed","Sun Jul 09 12:02:48 GMT 2023","Sun Jul 09 12:02:54 GMT 2023","5821","tests","test_decorators","","","","test_decorator_steps",""
