"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Задачи в репозитории","Находим в репозитории issue с номером 76","0","0","2","0","0"
"","Задачи в репозитории","Авторизованный пользователь может создать задачу в репозитории","0","0","1","0","0"
