"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 18:26:22 GMT 2023","Thu Jul 06 18:26:22 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Thu Jul 06 18:26:22 GMT 2023","Thu Jul 06 18:26:22 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"broken","Thu Jul 06 18:26:24 GMT 2023","Thu Jul 06 18:26:25 GMT 2023","644","tests","test_steps","","","","test_decorator_steps",""
"broken","Thu Jul 06 18:26:24 GMT 2023","Thu Jul 06 18:26:24 GMT 2023","646","tests","test_steps","","","","test_dynamic_steps",""
"passed","Thu Jul 06 18:26:22 GMT 2023","Thu Jul 06 18:26:22 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
"broken","Thu Jul 06 18:26:22 GMT 2023","Thu Jul 06 18:26:22 GMT 2023","0","tests","test_selene","","","","test_github",""
"passed","Thu Jul 06 18:26:22 GMT 2023","Thu Jul 06 18:26:22 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
