"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","1","0","2","0","0"
"","","Находим в репозитории issue с номером 76","0","1","0","0","0"
"","Задачи в репозитории","Авторизованный пользователь может создать задачу в репозитории","1","0","1","0","0"
"","Задачи в репозитории","Неавторизованный пользователь не может создать задачу в репозитории","0","0","1","0","0"
