"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 19:26:23 GMT 2023","Thu Jul 06 19:26:23 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
"failed","Thu Jul 06 19:26:30 GMT 2023","Thu Jul 06 19:26:35 GMT 2023","5114","tests","test_steps","","","","test_dynamic_steps",""
"broken","Thu Jul 06 19:26:30 GMT 2023","Thu Jul 06 19:26:30 GMT 2023","0","tests","test_selene","","","","test_github",""
"passed","Thu Jul 06 19:26:30 GMT 2023","Thu Jul 06 19:26:30 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Thu Jul 06 19:26:30 GMT 2023","Thu Jul 06 19:26:30 GMT 2023","1","tests","test_labels","","","","test_no_labels",""
"failed","Thu Jul 06 19:26:23 GMT 2023","Thu Jul 06 19:26:29 GMT 2023","6038","tests","test_decorators","","","","test_decorator_steps",""
"passed","Thu Jul 06 19:26:30 GMT 2023","Thu Jul 06 19:26:30 GMT 2023","1","tests","test_labels","","","","test_dynamic_labels",""
