"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 19:53:04 GMT 2023","Thu Jul 06 19:53:04 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Thu Jul 06 19:53:04 GMT 2023","Thu Jul 06 19:53:04 GMT 2023","0","tests","test_selene","","","","test_github",""
"failed","Thu Jul 06 19:53:04 GMT 2023","Thu Jul 06 19:53:09 GMT 2023","4831","tests","test_steps","","","","test_dynamic_steps",""
"passed","Thu Jul 06 19:53:04 GMT 2023","Thu Jul 06 19:53:04 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"passed","Thu Jul 06 19:53:04 GMT 2023","Thu Jul 06 19:53:04 GMT 2023","1","tests","test_labels","","","","test_dynamic_labels",""
"failed","Thu Jul 06 19:52:57 GMT 2023","Thu Jul 06 19:53:04 GMT 2023","6817","tests","test_decorators","","","","test_decorator_steps",""
"passed","Thu Jul 06 19:52:57 GMT 2023","Thu Jul 06 19:52:57 GMT 2023","0","tests","test_attachments","","","","test_attachments",""
