"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 06 18:34:37 GMT 2023","Thu Jul 06 18:34:37 GMT 2023","652","tests","test_steps","","","","test_decorator_steps",""
"passed","Thu Jul 06 18:34:29 GMT 2023","Thu Jul 06 18:34:29 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
"broken","Thu Jul 06 18:34:36 GMT 2023","Thu Jul 06 18:34:37 GMT 2023","653","tests","test_steps","","","","test_dynamic_steps",""
"passed","Thu Jul 06 18:34:35 GMT 2023","Thu Jul 06 18:34:35 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Thu Jul 06 18:34:29 GMT 2023","Thu Jul 06 18:34:35 GMT 2023","5719","tests","test_decorators","","","","test_decorator_steps",""
"passed","Thu Jul 06 18:34:35 GMT 2023","Thu Jul 06 18:34:35 GMT 2023","1","tests","test_labels","","","","test_dynamic_labels",""
"passed","Thu Jul 06 18:34:35 GMT 2023","Thu Jul 06 18:34:35 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"broken","Thu Jul 06 18:34:35 GMT 2023","Thu Jul 06 18:34:35 GMT 2023","0","tests","test_selene","","","","test_github",""
