"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 20:12:08 GMT 2023","Thu Jul 06 20:12:13 GMT 2023","4361","tests","test_decorators","","","","test_decorator_steps",""
"passed","Thu Jul 06 20:12:08 GMT 2023","Thu Jul 06 20:12:08 GMT 2023","0","tests","test_attachments","","","","test_attachments",""
"failed","Thu Jul 06 20:12:13 GMT 2023","Thu Jul 06 20:12:24 GMT 2023","10950","tests","test_selene","","","","test_github",""
"passed","Thu Jul 06 20:12:13 GMT 2023","Thu Jul 06 20:12:13 GMT 2023","1","tests","test_labels","","","","test_dynamic_labels",""
"passed","Thu Jul 06 20:12:13 GMT 2023","Thu Jul 06 20:12:13 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Thu Jul 06 20:12:13 GMT 2023","Thu Jul 06 20:12:13 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"passed","Thu Jul 06 20:12:24 GMT 2023","Thu Jul 06 20:12:26 GMT 2023","2479","tests","test_steps","","","","test_dynamic_steps",""
