"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 20:16:05 GMT 2023","Thu Jul 06 20:16:10 GMT 2023","4843","tests","test_decorators","","","","test_decorator_steps",""
"passed","Thu Jul 06 20:16:10 GMT 2023","Thu Jul 06 20:16:10 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
"passed","Thu Jul 06 20:16:12 GMT 2023","Thu Jul 06 20:16:15 GMT 2023","3105","tests","test_steps","","","","test_dynamic_steps",""
"passed","Thu Jul 06 20:16:10 GMT 2023","Thu Jul 06 20:16:12 GMT 2023","2555","tests","test_selene","","","","test_github",""
"passed","Thu Jul 06 20:16:05 GMT 2023","Thu Jul 06 20:16:05 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
"passed","Thu Jul 06 20:16:10 GMT 2023","Thu Jul 06 20:16:10 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Thu Jul 06 20:16:10 GMT 2023","Thu Jul 06 20:16:10 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
