"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 16:54:03 GMT 2023","Thu Jul 06 16:54:03 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Thu Jul 06 16:54:03 GMT 2023","Thu Jul 06 16:54:03 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Thu Jul 06 16:54:06 GMT 2023","Thu Jul 06 16:54:06 GMT 2023","654","tests","test_steps","","","","test_decorator_steps",""
"passed","Thu Jul 06 16:54:03 GMT 2023","Thu Jul 06 16:54:03 GMT 2023","0","tests","test_attachments","","","","test_attachments",""
"broken","Thu Jul 06 16:54:03 GMT 2023","Thu Jul 06 16:54:03 GMT 2023","0","tests","test_selene","","","","test_github",""
"passed","Thu Jul 06 16:54:03 GMT 2023","Thu Jul 06 16:54:03 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"broken","Thu Jul 06 16:54:05 GMT 2023","Thu Jul 06 16:54:06 GMT 2023","650","tests","test_steps","","","","test_dynamic_steps",""
