"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 19:09:52 GMT 2023","Thu Jul 06 19:09:52 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
"passed","Thu Jul 06 19:09:57 GMT 2023","Thu Jul 06 19:09:57 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
"passed","Thu Jul 06 19:09:57 GMT 2023","Thu Jul 06 19:09:57 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"failed","Thu Jul 06 19:09:57 GMT 2023","Thu Jul 06 19:10:02 GMT 2023","4534","tests","test_steps","","","","test_dynamic_steps",""
"passed","Thu Jul 06 19:09:57 GMT 2023","Thu Jul 06 19:09:57 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"failed","Thu Jul 06 19:09:52 GMT 2023","Thu Jul 06 19:09:57 GMT 2023","5021","tests","test_decorators","","","","test_decorator_steps",""
"broken","Thu Jul 06 19:09:57 GMT 2023","Thu Jul 06 19:09:57 GMT 2023","1","tests","test_selene","","","","test_github",""
