"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 20:07:58 GMT 2023","Thu Jul 06 20:07:58 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Thu Jul 06 20:07:53 GMT 2023","Thu Jul 06 20:07:53 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
"passed","Thu Jul 06 20:07:53 GMT 2023","Thu Jul 06 20:07:58 GMT 2023","5545","tests","test_decorators","","","","test_decorator_steps",""
"failed","Thu Jul 06 20:07:58 GMT 2023","Thu Jul 06 20:08:04 GMT 2023","5185","tests","test_selene","","","","test_github",""
"passed","Thu Jul 06 20:07:58 GMT 2023","Thu Jul 06 20:07:58 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"passed","Thu Jul 06 20:07:58 GMT 2023","Thu Jul 06 20:07:58 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
"passed","Thu Jul 06 20:08:04 GMT 2023","Thu Jul 06 20:08:07 GMT 2023","3060","tests","test_steps","","","","test_dynamic_steps",""
