"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 18:53:30 GMT 2023","Thu Jul 06 18:53:30 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
"broken","Thu Jul 06 18:53:30 GMT 2023","Thu Jul 06 18:53:31 GMT 2023","644","tests","test_steps","","","","test_dynamic_steps",""
"broken","Thu Jul 06 18:53:31 GMT 2023","Thu Jul 06 18:53:32 GMT 2023","644","tests","test_steps","","","","test_decorator_steps",""
"broken","Thu Jul 06 18:53:28 GMT 2023","Thu Jul 06 18:53:29 GMT 2023","1663","tests","test_decorators","","","","test_decorator_steps",""
"passed","Thu Jul 06 18:53:30 GMT 2023","Thu Jul 06 18:53:30 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
"passed","Thu Jul 06 18:53:30 GMT 2023","Thu Jul 06 18:53:30 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"broken","Thu Jul 06 18:53:30 GMT 2023","Thu Jul 06 18:53:30 GMT 2023","0","tests","test_selene","","","","test_github",""
"passed","Thu Jul 06 18:53:28 GMT 2023","Thu Jul 06 18:53:28 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
